State,p_county,ylat,xlong,p_year,p_cap_ac,p_cap_dc,Average GDP from 2010 to 2020(unit 1 million dollar),% Sun,Total Hours,Clear Days,Population,Empolyment Number,consumption (MWh),expenditures ('000 $),house_price
CA,Los Angeles,34.69513,-118.062578,2013,1.5,2,2016849.929,68,3055,146,10057155,7743432,20815748,3270372,"948,880"
CA,Kern,34.904113,-118.251246,2014,20,26.2,2016849.929,68,3055,146,871337,381006,1998148,380783,"383,180"
CA,Butte,39.373372,-121.684357,2013,1,1.2,2016849.929,68,3055,146,223877,120864,559301,111384,"427,620"
CA,Tulare,36.100484,-119.038005,2014,3.5,4.2,2016849.929,68,3055,146,455769,189068,1099103,179986,"374,100"
CA,Butte,39.373289,-121.681455,2013,2.5,3,2016849.929,68,3055,146,223877,120864,559301,111384,"427,620"
CA,Sacramento,38.469518,-121.182478,2012,3,3.8,2016849.929,68,3055,146,1479300,932682,4421932,631343,"585,720"
CA,Sacramento,38.463103,-121.180088,2012,3,3.8,2016849.929,68,3055,146,1479300,932682,4421932,631343,"585,720"
CA,Sacramento,38.466028,-121.178084,2012,3,3.8,2016849.929,68,3055,146,1479300,932682,4421932,631343,"585,720"
CA,Sacramento,38.28355,-121.461629,2012,0.9,1.2,2016849.929,68,3055,146,1479300,932682,4421932,631343,"585,720"
CA,Sacramento,38.282099,-121.465542,2012,2.8,3.6,2016849.929,68,3055,146,1479300,932682,4421932,631343,"585,720"
CA,Los Angeles,34.654383,-117.973256,2012,1.3,1.7,2016849.929,68,3055,146,10057155,7743432,20815748,3270372,"948,880"
CA,Riverside,33.568471,-114.917988,2012,4,4.4,2016849.929,68,3055,146,2323892,1107408,6343012,979313,"646,690"
CA,Riverside,33.566907,-114.918045,2008,0.9,1.2,2016849.929,68,3055,146,2323892,1107408,6343012,979313,"646,690"
CA,San Luis Obispo,35.368633,-120.03261,2014,585.9,752.1,2016849.929,68,3055,146,278680,178893,528631,105276,"937,390"
CA,Kern,35.103963,-118.954207,2014,19.57,26.4,2016849.929,68,3055,146,871337,381006,1998148,380783,"383,180"
CA,Los Angeles,34.128028,-118.206682,2013,1,1.1,2016849.929,68,3055,146,10057155,7743432,20815748,3270372,"948,880"
CA,Los Angeles,34.664956,-118.286848,2013,1.5,1.8,2016849.929,68,3055,146,10057155,7743432,20815748,3270372,"948,880"
CA,San Bernardino,34.043323,-117.097058,2012,1.3,1.3,2016849.929,68,3055,146,2106754,1164560,4526519,719245,"606,950"
CA,San Bernardino,34.174111,-116.152878,2012,2,2.2,2016849.929,68,3055,146,2106754,1164560,4526519,719245,"606,950"
CA,San Bernardino,34.480112,-117.257817,2010,1,1,2016849.929,68,3055,146,2106754,1164560,4526519,719245,"606,950"
CA,San Bernardino,34.51231,-117.481927,2013,17.5,22.3,2016849.929,68,3055,146,2106754,1164560,4526519,719245,"606,950"
CA,Los Angeles,34.319539,-118.431426,2017,2.2,2.2,2016849.929,68,3055,146,10057155,7743432,20815748,3270372,"948,880"
CA,Kern,35.402755,-119.038053,2009,1.1,1.2,2016849.929,68,3055,146,871337,381006,1998148,380783,"383,180"
CA,Kern,35.647639,-119.716317,2012,1.5,1.8,2016849.929,68,3055,146,871337,381006,1998148,380783,"383,180"
CA,Los Angeles,34.122638,-117.939375,2015,2.5,3.2,2016849.929,68,3055,146,10057155,7743432,20815748,3270372,"948,880"
CA,Solano,38.400022,-121.964362,2008,0.9,1.1,2016849.929,68,3055,146,429596,222300,939348,187057,"668,950"
CA,Yolo,38.657468,-121.733703,2010,1,1.1,2016849.929,68,3055,146,209671,125575,440439,87040,"671,310"
CA,Sacramento,38.516214,-121.475657,2012,2,2.3,2016849.929,68,3055,146,1479300,932682,4421932,631343,"585,720"
CA,Imperial,32.7622,-115.783372,2016,148.7,182.3,2016849.929,68,3055,146,178807,65887,578179,72723,"342,360"
CA,Sacramento,38.363565,-121.385352,2012,5,6.2,2016849.929,68,3055,146,1479300,932682,4421932,631343,"585,720"
CA,San Bernardino,34.398252,-116.869667,2014,10,12.2,2016849.929,68,3055,146,2106754,1164560,4526519,719245,"606,950"
CA,Fresno,36.395424,-120.107782,2011,15,17.6,2016849.929,68,3055,146,963160,508312,2350782,467903,"440,130"
CA,Fresno,36.52382,-120.123306,2011,20,24.6,2016849.929,68,3055,146,963160,508312,2350782,467903,"440,130"
CA,Stanislaus,37.736402,-120.988417,2012,25.8,31.3,2016849.929,68,3055,146,530561,278059,1539817,273441,"509,510"
CA,Fresno,36.141884,-120.132734,2013,10,12.9,2016849.929,68,3055,146,963160,508312,2350782,467903,"440,130"
CA,Tulare,35.815505,-119.451017,2013,20.2,23.5,2016849.929,68,3055,146,455769,189068,1099103,179986,"374,100"
CA,Riverside,33.823568,-115.394115,2014,313.7,399,2016849.929,68,3055,146,2323892,1107408,6343012,979313,"646,690"
CA,Imperial,33.085561,-115.471515,2014,155.1,194.1,2016849.929,68,3055,146,178807,65887,578179,72723,"342,360"
