case_id,multi_poly,eia_id,p_state,p_county,ylat,xlong,p_area,p_img_date,p_dig_conf,p_name,p_year,p_pwr_reg,p_tech_pri,p_tech_sec,p_axis,p_azimuth,p_tilt,p_battery,p_cap_ac,p_cap_dc,p_type,p_agrivolt,p_zscore
400084,multi,57203,OH,Wyandot,40.880083,-83.317534,261524,20200608,4,Wyandot Solar Farm,2010,PJM,PV,thin-film,fixed-tilt,180,25,,10.08,12,greenfield,non-agrivoltaic,-0.506676
400171,multi,57462,OH,Henry,41.387434,-84.092892,151173,20200408,4,Napoleon Solar I,2011,PJM,PV,c-si,single-axis,179,0,,8.08,9.8,greenfield,non-agrivoltaic,-0.105373
401832,single,60622,OH,Wood,41.396028,-83.581275,577053,20210314,4,DG AMP Solar Bowling Green,2017,PJM,PV,c-si,single-axis,180,0,,20,28.5,greenfield,non-agrivoltaic,-0.432439
403283,single,62942,OH,Medina,41.012592,-81.765424,105841,20211001,4,DG AMP 1048 Wadsworth,2019,PJM,PV,c-si,single-axis,180,0,,6.3,8.6,greenfield,non-agrivoltaic,0.242669
400506,multi,58381,OH,Williams,41.475893,-84.586579,44458,20190909,4,Bryan Solar Field,2012,PJM,PV,thin-film,fixed-tilt,180,25,,1.8,2.1,greenfield,non-agrivoltaic,-0.478059
400010,single,2854,OH,Montgomery,39.601037,-84.205745,31606,20190319,4,Yankee Street,2010,PJM,PV,c-si,fixed-tilt,180,25,,1.1,2.5,greenfield,non-agrivoltaic,0.197032
400384,multi,58082,OH,Henry,41.406554,-84.11612,83263,20210308,4,AMP Napoleon Solar Facility,2012,PJM,PV,c-si,fixed-tilt,180,30,,3.5,4.2,landfill,non-agrivoltaic,-0.410111
400397,single,58134,OH,Lorain,41.302915,-82.228661,40930,20220812,4,Oberlin Spear Point Solar One,2012,PJM,PV,c-si,single-axis,180,0,,2,2.3,greenfield,grazing,-0.288282
400509,multi,58386,OH,Greene,39.742413,-83.816608,38681,20200621,4,CU Solar Plant,2013,PJM,PV,c-si,fixed-tilt,180,25,,1.8,2.2,greenfield,non-agrivoltaic,-0.273822
400671,single,58665,OH,Mercer,40.542103,-84.59254,92361,20191028,4,"Celina Solar Project #1, LLC",2012,PJM,PV,c-si,fixed-tilt,180,25,,4,5,greenfield,non-agrivoltaic,-0.331878
400996,multi,59296,OH,Paulding,41.01816,-84.594761,45156,20210312,4,Northwest Ohio Wind,2021,PJM,PV,,fixed-tilt,180,,batteries,4,4.5,greenfield,non-agrivoltaic,0.632493
401008,single,59324,OH,Cuyahoga,41.516207,-81.597612,18661,20211001,4,MCCo Solar Generating Facility,2014,PJM,PV,,fixed-tilt,190,25,,0.9,1,PCSC,non-agrivoltaic,-0.343451
401102,single,59489,OH,Lucas,41.627547,-83.574503,50067,20200821,4,Anthony Wayne Solar #1,2014,PJM,PV,thin-film,fixed-tilt,180,25,,1.7,2.1,PCSC,non-agrivoltaic,-0.590177
401240,single,59683,OH,Trumbull,41.147684,-80.883796,30329,20210728,4,Lordstown Motor Corp,2015,PJM,PV,c-si,fixed-tilt,180,25,,1.7,2.2,greenfield,non-agrivoltaic,0.05802
401560,multi,60190,OH,Auglaize,40.389551,-84.400456,173436,20180902,4,HMW Minster PV I,2015,PJM,PV,c-si,fixed-tilt,180,25,,3,4.3,greenfield,non-agrivoltaic,-0.953538
402033,single,60913,OH,Hardin,40.759496,-83.840252,57056,20210308,4,Ohio Northern University Solar Site,2018,PJM,PV,thin-film,single-axis,180,0,,2.7,3.1,greenfield,non-agrivoltaic,-0.327693
402042,single,60923,OH,Sandusky,41.319417,-82.983263,69112,20210426,4,Clyde Solar Array,2016,PJM,PV,c-si,single-axis,180,0,,2.8,3.7,greenfield,non-agrivoltaic,-0.344565
402351,multi,61436,OH,Wayne,40.856551,-81.75931,57081,20201008,4,DG AMP Solar Orrville 3,2018,PJM,PV,c-si,fixed-tilt,180,25,,2.3,2.8,greenfield,non-agrivoltaic,-0.439544
402352,multi,61437,OH,Darke,40.221074,-84.497304,32821,20191028,4,DG AMP Solar Versailles,2018,PJM,PV,c-si,fixed-tilt,180,25,,1.8,2.2,greenfield,non-agrivoltaic,-0.058694
402353,single,61438,OH,Shelby,40.444923,-84.047405,32093,20180827,4,DG AMP Solar Jackson Center,2018,PJM,PV,c-si,fixed-tilt,180,25,,1.6,2.2,greenfield,non-agrivoltaic,-0.026489
402508,multi,61637,OH,Licking,40.078581,-82.513598,40118,20210605,4,Denison Solar Array,2017,PJM,PV,c-si,single-axis,180,0,,1.9,2.3,greenfield,es,-0.264192
